result_id,split,family,mode,evaluator,training_seed,channel,c,snr_db,source_summary,model_checkpoint,model_checkpoint_sha256,evaluator_checkpoint,evaluator_checkpoint_sha256,evaluation_script
test_exact_topk_learned_topk_r2plus1d_seed42_AWGN_c8_snr13,test,exact_topk,learned_topk,r2plus1d,42,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed42/r2plus1d/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_00h37m04s_on_Sep_04_2026/best.pt,0256e4fe0947522cd9848d03a144def58b2f6eb900a817e21304c086c4f2943a,downstream/action_recognition/weights/r2plus1d_ucf101_layer4_locked_split_best.pt,5d626c4c7d7e7875151d2a947e7005ab29d30ab0b861991bfe91ac97c189deac,run_official_test_sweep.py
test_exact_topk_random_topk_r2plus1d_seed42_AWGN_c8_snr13,test,exact_topk,random_topk,r2plus1d,42,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed42/r2plus1d/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_00h37m04s_on_Sep_04_2026/best.pt,0256e4fe0947522cd9848d03a144def58b2f6eb900a817e21304c086c4f2943a,downstream/action_recognition/weights/r2plus1d_ucf101_layer4_locked_split_best.pt,5d626c4c7d7e7875151d2a947e7005ab29d30ab0b861991bfe91ac97c189deac,run_official_test_sweep.py
test_exact_topk_uniform_topk_r2plus1d_seed42_AWGN_c8_snr13,test,exact_topk,uniform_topk,r2plus1d,42,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed42/r2plus1d/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_00h37m04s_on_Sep_04_2026/best.pt,0256e4fe0947522cd9848d03a144def58b2f6eb900a817e21304c086c4f2943a,downstream/action_recognition/weights/r2plus1d_ucf101_layer4_locked_split_best.pt,5d626c4c7d7e7875151d2a947e7005ab29d30ab0b861991bfe91ac97c189deac,run_official_test_sweep.py
test_exact_topk_learned_topk_tsn_seed42_AWGN_c8_snr13,test,exact_topk,learned_topk,tsn,42,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed42/tsn/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_00h37m04s_on_Sep_04_2026/best.pt,0256e4fe0947522cd9848d03a144def58b2f6eb900a817e21304c086c4f2943a,downstream/action_recognition/weights/tsn_ucf101_head_locked_split_best.pt,7abeaacbb81a832bed1b7854ba93d3372d8060ed2e19811e2ce3fe1cc4d6e4c6,run_official_test_sweep.py
test_exact_topk_random_topk_tsn_seed42_AWGN_c8_snr13,test,exact_topk,random_topk,tsn,42,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed42/tsn/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_00h37m04s_on_Sep_04_2026/best.pt,0256e4fe0947522cd9848d03a144def58b2f6eb900a817e21304c086c4f2943a,downstream/action_recognition/weights/tsn_ucf101_head_locked_split_best.pt,7abeaacbb81a832bed1b7854ba93d3372d8060ed2e19811e2ce3fe1cc4d6e4c6,run_official_test_sweep.py
test_exact_topk_uniform_topk_tsn_seed42_AWGN_c8_snr13,test,exact_topk,uniform_topk,tsn,42,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed42/tsn/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_00h37m04s_on_Sep_04_2026/best.pt,0256e4fe0947522cd9848d03a144def58b2f6eb900a817e21304c086c4f2943a,downstream/action_recognition/weights/tsn_ucf101_head_locked_split_best.pt,7abeaacbb81a832bed1b7854ba93d3372d8060ed2e19811e2ce3fe1cc4d6e4c6,run_official_test_sweep.py
test_exact_topk_learned_topk_r2plus1d_seed43_AWGN_c8_snr13,test,exact_topk,learned_topk,r2plus1d,43,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed43/r2plus1d/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13_seed43/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_16h10m50s_on_Sep_05_2026/best.pt,78fa4b7e3e56c89b45d3a2180c47d5f2831656a534a04e84be55c91abf597ef7,downstream/action_recognition/weights/r2plus1d_ucf101_layer4_locked_split_best.pt,5d626c4c7d7e7875151d2a947e7005ab29d30ab0b861991bfe91ac97c189deac,run_official_test_sweep.py
test_exact_topk_random_topk_r2plus1d_seed43_AWGN_c8_snr13,test,exact_topk,random_topk,r2plus1d,43,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed43/r2plus1d/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13_seed43/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_16h10m50s_on_Sep_05_2026/best.pt,78fa4b7e3e56c89b45d3a2180c47d5f2831656a534a04e84be55c91abf597ef7,downstream/action_recognition/weights/r2plus1d_ucf101_layer4_locked_split_best.pt,5d626c4c7d7e7875151d2a947e7005ab29d30ab0b861991bfe91ac97c189deac,run_official_test_sweep.py
test_exact_topk_uniform_topk_r2plus1d_seed43_AWGN_c8_snr13,test,exact_topk,uniform_topk,r2plus1d,43,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed43/r2plus1d/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13_seed43/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_16h10m50s_on_Sep_05_2026/best.pt,78fa4b7e3e56c89b45d3a2180c47d5f2831656a534a04e84be55c91abf597ef7,downstream/action_recognition/weights/r2plus1d_ucf101_layer4_locked_split_best.pt,5d626c4c7d7e7875151d2a947e7005ab29d30ab0b861991bfe91ac97c189deac,run_official_test_sweep.py
test_exact_topk_learned_topk_tsn_seed43_AWGN_c8_snr13,test,exact_topk,learned_topk,tsn,43,AWGN,8,13.0,out_official_test_sweep_locked/topk/seed43/tsn/TATopKMatched_test_AWGN_c8_snr13_seed1042/summary.json,out_topk50_selector_trained_c8_snr13_seed43/checkpoints/TAVideoJSCC_AWGN_c8_snr13.0_ratio0.1667_topk0.50_joint25ep_lt0.001_lr1.0_lrate0.0_16h10m50s_on_Sep_05_2026/best.pt,78fa4b7e3e56c89b45d3a2180c47d5f2831656a534a04e84be55c91abf597ef7,downstream/action_recognition/weights/tsn_ucf101_head_locked_split_best.pt,7abeaacbb81a832bed1b7854ba93d3372d8060ed2e19811e2ce3fe1cc4d6e4c6,run_official_test_sweep.py
